STUDY SITE	AREA	TRANSECT NUMBER	TRANSECT LENGTH KM	ANGLE	DISTANCE (METRES)	CLUSTER SIZE
BLEAKLOW	25	6	4.71	80	86	1
BLEAKLOW	25	6	4.71	40	131	1
BLEAKLOW	25	6	4.71	90	168	1
BLEAKLOW	25	6	4.71	60	210	1
BLEAKLOW	25	6	4.71	70	222	3
BLEAKLOW	25	6	4.71	90	184	2
BLEAKLOW	25	6	4.71	20	238	1
BLEAKLOW	25	6	4.71	40	347	2
BLEAKLOW	25	6	4.71	30	335	1
BLEAKLOW	25	6	4.71	70	21	1
BLEAKLOW	25	6	4.71	80	38	1
BLEAKLOW	25	6	4.71	90	274	2
BLEAKLOW	25	6	4.71	0	45	1
BLEAKLOW	25	6	4.71	20	70	1
BLEAKLOW	25	6	4.71	60	128	1
BLEAKLOW	25	6	4.71	40	126	1
BLEAKLOW	25	6	4.71	40	35	1
BLEAKLOW	25	6	4.71	50	185	1
BLEAKLOW	25	6	4.71	70	61	3
BLEAKLOW	25	6	4.71	90	63	1
BLEAKLOW	25	6	4.71	0	89	1
BLEAKLOW	25	6	4.71	45	83	1
BLEAKLOW	25	6	4.71	85	49	1
BLEAKLOW	25	7	3.21			
BLEAKLOW	25	8	4.97	60	82	1
BLEAKLOW	25	8	4.97	55	64	1
BLEAKLOW	25	8	4.97	80	206	1
BLEAKLOW	25	8	4.97	5	214	1
BLEAKLOW	25	8	4.97	60	375	1
BLEAKLOW	25	8	4.97	2	61	1
BLEAKLOW	25	8	4.97	70	21	1
BLEAKLOW	25	9	4.86	60	30	1
BLEAKLOW	25	9	4.86	40	50	3
BLEAKLOW	25	9	4.86	80	600	1
BLEAKLOW	25	9	4.86	30	311	1
BLEAKLOW	25	9	4.86	80	357	1
BLEAKLOW	25	9	4.86	30	54	1
BLEAKLOW	25	9	4.86	80	36	1
BLEAKLOW	25	9	4.86	60	360	1
BLEAKLOW	25	10	5.59	20	22	1
BLEAKLOW	25	10	5.59	80	37	1
BLEAKLOW	25	10	5.59	0	1	1
BLEAKLOW	25	10	5.59	70	226	1
BLEAKLOW	25	10	5.59	60	16	1
BLEAKLOW	25	10	5.59	0	1	1
BLEAKLOW	25	10	5.59	30	400	2
BLEAKLOW	25	10	5.59	50	45	1
BLEAKLOW	25	10	5.59	15	26	1
BLEAKLOW	25	10	5.59	20	3	1
BLEAKLOW	25	10	5.59	20	115	1
BLEAKLOW	25	10	5.59	0	1	1
BLEAKLOW	25	11	4.75	10	27	1
BLEAKLOW	25	11	4.75	0	21	1
BLEAKLOW	25	11	4.75	25	65	1
BLEAKLOW	25	11	4.75	0	20	1
BLEAKLOW	25	11	4.75	60	50	2
BLEAKLOW	25	12	4.7	40	248	1
BLEAKLOW	25	12	4.7	20	281	1
BLEAKLOW	25	12	4.7	10	592	1
BLEAKLOW	25	12	4.7	50	646	1
BLEAKLOW	25	12	4.7	60	389	1
BLEAKLOW	25	12	4.7	35	425	1
BLEAKLOW	25	12	4.7	0	1	1
BLEAKLOW	25	12	4.7	80	75	2
BLEAKLOW	25	12	4.7	60	320	7
BLEAKLOW	25	13	5.34	60	98	1
BLEAKLOW	25	13	5.34	35	54	1
BLEAKLOW	25	13	5.34	20	75	1
BLEAKLOW	25	13	5.34	30	238	1
BLEAKLOW	25	13	5.34	40	256	1
BLEAKLOW	25	13	5.34	10	87	2
BLEAKLOW	25	13	5.34	80	400	2
BLEAKLOW	25	13	5.34	80	350	1
BLEAKLOW	25	13	5.34	75	153	1
BLEAKLOW	25	13	5.34	90	400	2
BLEAKLOW	25	13	5.34	45	256	1
BLEAKLOW	25	13	5.34	10	27	1
BLEAKLOW	25	13	5.34	50	69	1
BLEAKLOW	25	13	5.34	55	219	1
BLEAKLOW	25	13	5.34	50	165	1
BLEAKLOW	25	13	5.34	40	238	1
BLEAKLOW	25	13	5.34	60	2	1
BLEAKLOW	25	13	5.34	30	350	1
MARGERY HILL	25	14	3.14	20	27	1
MARGERY HILL	25	15	4.51	50	347	1
MARGERY HILL	25	15	4.51	0	2	1
MARGERY HILL	25	15	4.51	70	16	1
MARGERY HILL	25	15	4.51	90	3	1
MARGERY HILL	25	15	4.51	60	8	1
MARGERY HILL	25	15	4.51	70	131	1
MARGERY HILL	25	15	4.51	75	174	1
MARGERY HILL	25	15	4.51	10	165	1
MARGERY HILL	25	16	4.44			
MARGERY HILL	25	17	4.73	40	77	1
MARGERY HILL	25	17	4.73	70	48	1
MARGERY HILL	25	17	4.73	50	29	1
MARGERY HILL	25	17	4.73	50	57	1
MARGERY HILL	25	17	4.73	80	105	1
MARGERY HILL	25	17	4.73	80	105	1
MARGERY HILL	25	17	4.73	80	36	2
MARGERY HILL	25	17	4.73	20	34	3
MARGERY HILL	25	17	4.73	30	128	1
MARGERY HILL	25	17	4.73	50	53	1
MARGERY HILL	25	17	4.73	60	112	1
MARGERY HILL	25	17	4.73	50	300	1
MARGERY HILL	25	18	4.46	15	32	1
MARGERY HILL	25	18	4.46	40	311	1
MARGERY HILL	25	18	4.46	40	329	1
MARGERY HILL	25	18	4.46	5	7	1
MARGERY HILL	25	19	4.65	20	5	1
MARGERY HILL	25	19	4.65	80	84	1
MARGERY HILL	25	19	4.65	50	23	1
MARGERY HILL	25	20	4.71	40	63	1
MARGERY HILL	25	20	4.71	60	293	1
MARGERY HILL	25	20	4.71	80	9	1
MARGERY HILL	25	20	4.71	70	183	1
MARGERY HILL	25	20	4.71	20	73	1
MARGERY HILL	25	20	4.71	40	146	1
MARGERY HILL	25	20	4.71	5	106	1
MARGERY HILL	25	20	4.71	10	165	1
MARGERY HILL	25	20	4.71	60	53	1
MARGERY HILL	25	20	4.71	0	103	1
MARGERY HILL	25	20	4.71	30	110	1
MARGERY HILL	25	20	4.71	40	54	1
MARGERY HILL	25	20	4.71	80	80	1
MARGERY HILL	25	20	4.71	5	44	1
MARGERY HILL	25	20	4.71	40	79	1
MARGERY HILL	25	20	4.71	80	99	1
MARGERY HILL	25	20	4.71	70	101	1
MARGERY HILL	25	20	4.71	70	104	1
MARGERY HILL	25	20	4.71	4	82	1
MARGERY HILL	25	20	4.71	75	274	1
MARGERY HILL	25	20	4.71	30	59	1
MARGERY HILL	25	20	4.71	0	101	1
MARGERY HILL	25	21	4.03			
MARGERY HILL	25	22	4.72	70	6	1
MARGERY HILL	25	22	4.72	70	3	1
MARGERY HILL	25	22	4.72	15	46	3
MARGERY HILL	25	22	4.72	60	31	1
MARGERY HILL	25	22	4.72	80	14	1
MARGERY HILL	25	22	4.72	80	162	1
MARGERY HILL	25	22	4.72	90	400	2
MARGERY HILL	25	22	4.72	30	30	1
MARGERY HILL	25	22	4.72	45	2	1
MARGERY HILL	25	22	4.72	70	87	1
MARGERY HILL	25	22	4.72	50	193	1
MARGERY HILL	25	22	4.72	70	249	1
MARGERY HILL	25	23	4.72	30	101	1
MARGERY HILL	25	23	4.72	60	112	1
MARGERY HILL	25	23	4.72	20	16	1
MARGERY HILL	25	23	4.72	10	400	1
MARGERY HILL	25	23	4.72	10	400	1
MARGERY HILL	25	23	4.72	40	350	1
MARGERY HILL	25	23	4.72	80	300	1
MARGERY HILL	25	23	4.72	80	69	1
MARGERY HILL	25	23	4.72	50	96	1
